Column1,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
 National,2/1/2019,$276K,0.013,0.029,371041,0.114,-0.002,540627,0.024,-0.038,1437578,0.013,0.089,59,2,6,0.978,0.003,-0.003
 National,3/1/2019,$284K,0.028,0.022,486241,0.31,-0.051,707587,0.309,-0.022,1493693,0.039,0.084,50,-9,5,0.981,0.003,-0.004
 National,4/1/2019,$290K,0.022,0.03,546481,0.124,0.019,778639,0.1,0.017,1564769,0.048,0.074,42,-8,5,0.984,0.003,-0.004
 National,5/1/2019,$298K,0.029,0.037,642068,0.175,0.028,830737,0.067,0.004,1660025,0.061,0.064,37,-5,4,0.986,0.002,-0.003
 National,6/1/2019,$303K,0.014,0.034,620446,-0.034,-0.06,734806,-0.115,-0.051,1700719,0.025,0.04,36,-1,5,0.987,0.001,-0.003
 National,7/1/2019,$299K,-0.01,0.041,633129,0.02,0.032,703051,-0.043,-0.01,1687473,-0.008,0.018,36,1,4,0.986,-0.001,-0.002
 National,8/1/2019,$297K,-0.009,0.042,625096,-0.013,-0.009,671614,-0.045,-0.043,1668030,-0.012,-0.008,39,3,3,0.984,-0.002,-0.001
 National,9/1/2019,$292K,-0.015,0.048,531318,-0.15,0.08,619685,-0.077,0.034,1661036,-0.004,-0.026,42,3,3,0.983,-0.001,0
 National,10/1/2019,$294K,0.005,0.057,542395,0.021,0.036,604395,-0.025,0.005,1609405,-0.031,-0.039,44,2,0,0.981,-0.001,0.001
 National,11/1/2019,$295K,0.003,0.054,479643,-0.116,0.009,436813,-0.277,-0.05,1471137,-0.086,-0.065,45,1,-1,0.981,-0.001,0.002
 National,12/1/2019,$296K,0.005,0.064,510280,0.064,0.157,320590,-0.266,0.018,1271848,-0.135,-0.094,50,5,-1,0.98,-0.001,0.002
 National,1/1/2020,$290K,-0.02,0.065,377642,-0.26,0.133,527864,0.647,0,1265918,-0.005,-0.108,57,6,-1,0.977,-0.002,0.003
 National,2/1/2020,$294K,0.013,0.065,404751,0.072,0.091,581027,0.101,0.075,1283461,0.014,-0.107,56,-1,-3,0.981,0.004,0.003
 National,3/1/2020,$303K,0.032,0.068,506045,0.25,0.041,662606,0.14,-0.064,1339815,0.044,-0.103,44,-12,-6,0.986,0.005,0.005
 National,4/1/2020,$304K,0.002,0.048,436316,-0.138,-0.202,471217,-0.289,-0.395,1323143,-0.012,-0.154,36,-8,-6,0.988,0.002,0.004
 National,5/1/2020,$299K,-0.016,0.003,422251,-0.032,-0.342,635815,0.349,-0.235,1319903,-0.002,-0.205,39,3,2,0.985,-0.003,-0.001
 National,6/1/2020,$311K,0.039,0.027,588222,0.393,-0.052,714655,0.124,-0.027,1260116,-0.045,-0.259,39,1,4,0.987,0.002,0
 National,7/1/2020,$323K,0.039,0.079,704468,0.198,0.113,756212,0.058,0.076,1224569,-0.028,-0.274,35,-4,-1,0.99,0.003,0.005
 National,8/1/2020,$329K,0.018,0.108,667335,-0.053,0.068,714626,-0.055,0.064,1178769,-0.037,-0.293,32,-3,-7,0.992,0.002,0.008
 National,9/1/2020,$332K,0.011,0.138,664525,-0.004,0.251,699904,-0.021,0.129,1155359,-0.02,-0.304,30,-2,-12,0.994,0.002,0.012
 National,10/1/2020,$335K,0.009,0.142,676431,0.018,0.247,684378,-0.022,0.132,1121052,-0.03,-0.303,29,-1,-15,0.995,0.001,0.014
 National,11/1/2020,$334K,-0.004,0.134,585624,-0.134,0.221,492625,-0.28,0.128,997775,-0.11,-0.322,28,-1,-17,0.995,0,0.015
 National,12/1/2020,$333K,-0.002,0.126,631104,0.078,0.237,393581,-0.201,0.228,834982,-0.163,-0.343,31,3,-19,0.994,-0.002,0.014
 National,1/1/2021,$330K,-0.009,0.139,433352,-0.313,0.148,495674,0.259,-0.061,779255,-0.067,-0.384,35,3,-22,0.993,-0.001,0.016
 National,2/1/2021,$337K,0.019,0.146,438278,0.011,0.083,505643,0.02,-0.13,733384,-0.059,-0.429,33,-1,-23,0.998,0.004,0.017
 National,3/1/2021,$354K,0.052,0.168,588563,0.343,0.163,700386,0.385,0.057,728420,-0.007,-0.456,26,-7,-18,1.006,0.008,0.02
 National,4/1/2021,$370K,0.045,0.218,622078,0.057,0.426,759864,0.085,0.613,785750,0.079,-0.406,19,-7,-16,1.015,0.01,0.028
 National,5/1/2021,$377K,0.018,0.259,629267,0.012,0.49,741292,-0.024,0.166,806642,0.027,-0.389,16,-3,-22,1.022,0.006,0.037
 National,6/1/2021,$387K,0.028,0.246,726571,0.155,0.235,808561,0.091,0.131,879298,0.09,-0.302,15,-1,-25,1.025,0.003,0.038
 National,7/1/2021,$385K,-0.006,0.191,677784,-0.067,-0.038,793939,-0.018,0.05,976294,0.11,-0.203,15,0,-20,1.023,-0.003,0.032
 National,8/1/2021,$381K,-0.009,0.16,670999,-0.01,0.005,717668,-0.096,0.004,969334,-0.007,-0.178,17,2,-15,1.016,-0.006,0.024
 National,9/1/2021,$377K,-0.011,0.135,637428,-0.05,-0.041,677068,-0.057,-0.033,974624,0.005,-0.156,19,2,-11,1.01,-0.006,0.016
 National,10/1/2021,$380K,0.007,0.133,612453,-0.039,-0.095,620911,-0.083,-0.093,923068,-0.053,-0.177,21,2,-8,1.007,-0.003,0.012
 National,11/1/2021,$384K,0.01,0.149,591503,-0.034,0.01,487359,-0.215,-0.011,795790,-0.138,-0.202,23,2,-5,1.006,-0.001,0.011
 National,12/1/2021,$383K,-0.001,0.15,596341,0.008,-0.055,365252,-0.251,-0.072,646084,-0.188,-0.226,25,2,-6,1.005,-0.001,0.011
 National,1/1/2022,$377K,-0.016,0.142,415053,-0.304,-0.042,455488,0.247,-0.081,623370,-0.035,-0.2,27,2,-7,1.004,-0.001,0.011
 National,2/1/2022,$391K,0.036,0.161,419147,0.01,-0.044,509735,0.119,0.008,640381,0.027,-0.127,26,-1,-8,1.013,0.008,0.015
