SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022
40,6,0,0,0,0,0,A,California,California,39538245,39501653,39142991,39029342
162,6,0,296,0,0,0,A,Adelanto city,California,38040,38128,38436,38783
162,6,0,394,0,0,0,A,Agoura Hills city,California,20297,20227,19802,19464
162,6,0,562,0,0,0,A,Alameda city,California,78282,78044,76246,76040
162,6,0,674,0,0,0,A,Albany city,California,20271,20225,19823,19415
162,6,0,884,0,0,0,A,Alhambra city,California,82868,82657,81168,80259
162,6,0,947,0,0,0,A,Aliso Viejo city,California,52173,52205,51901,51221
162,6,0,1444,0,0,0,A,Alturas city,California,2713,2701,2685,2658
162,6,0,1514,0,0,0,A,Amador City city,California,198,198,201,201
162,6,0,1640,0,0,0,A,American Canyon city,California,21843,21777,21602,21432
162,6,0,2000,0,0,0,A,Anaheim city,California,346825,347105,346174,344461
162,6,0,2042,0,0,0,A,Anderson city,California,11325,11330,11380,11307
162,6,0,2112,0,0,0,A,Angels city,California,3662,3676,3762,3786
162,6,0,2252,0,0,0,A,Antioch city,California,115305,115251,114964,115264
162,6,0,2364,0,0,0,A,Apple Valley town,California,75789,75874,76158,75867
162,6,0,2462,0,0,0,A,Arcadia city,California,56664,56466,55334,54857
162,6,0,2476,0,0,0,A,Arcata city,California,18845,18788,17736,18555
162,6,0,2868,0,0,0,A,Arroyo Grande city,California,18436,18420,18465,18380
162,6,0,2896,0,0,0,A,Artesia city,California,16395,16341,16006,15774
162,6,0,2924,0,0,0,A,Arvin city,California,19491,19545,19714,19611
162,6,0,3064,0,0,0,A,Atascadero city,California,29776,29736,29723,29684
162,6,0,3092,0,0,0,A,Atherton town,California,7186,7165,6970,6898
162,6,0,3162,0,0,0,A,Atwater city,California,31964,31955,32153,32372
162,6,0,3204,0,0,0,A,Auburn city,California,13778,13792,13891,13737
162,6,0,3274,0,0,0,A,Avalon city,California,3458,3448,3373,3313
162,6,0,3302,0,0,0,A,Avenal city,California,13694,13488,12886,13374
162,6,0,3386,0,0,0,A,Azusa city,California,50265,50154,49289,48824
162,6,0,3526,0,0,0,A,Bakersfield city,California,404440,405181,409079,410647
162,6,0,3666,0,0,0,A,Baldwin Park city,California,72176,71971,70561,69455
162,6,0,3820,0,0,0,A,Banning city,California,29522,29526,30293,30683
162,6,0,4030,0,0,0,A,Barstow city,California,25409,25419,25452,25231
162,6,0,4758,0,0,0,A,Beaumont city,California,53045,53523,55271,56349
162,6,0,4870,0,0,0,A,Bell city,California,33561,33458,32774,32466
162,6,0,4982,0,0,0,A,Bellflower city,California,79216,78975,77411,76405
162,6,0,4996,0,0,0,A,Bell Gardens city,California,39514,39379,38555,37927
162,6,0,5108,0,0,0,A,Belmont city,California,28332,28234,27305,26773
162,6,0,5164,0,0,0,A,Belvedere city,California,2131,2126,2115,2080
162,6,0,5290,0,0,0,A,Benicia city,California,27135,27091,26891,26567
162,6,0,6000,0,0,0,A,Berkeley city,California,124324,124206,114810,118950
162,6,0,6308,0,0,0,A,Beverly Hills city,California,32701,32581,31852,31326
162,6,0,6434,0,0,0,A,Big Bear Lake city,California,5044,5049,5065,5031
162,6,0,6560,0,0,0,A,Biggs city,California,1968,1951,1935,1899
162,6,0,6798,0,0,0,A,Bishop city,California,3822,3822,3818,3771
162,6,0,7162,0,0,0,A,Blue Lake city,California,1204,1200,1196,1183
162,6,0,7218,0,0,0,A,Blythe city,California,18306,18020,17343,17358
162,6,0,7946,0,0,0,A,Bradbury city,California,925,922,899,886
162,6,0,8058,0,0,0,A,Brawley city,California,26421,26414,26543,26862
162,6,0,8100,0,0,0,A,Brea city,California,47303,47477,47530,46993
162,6,0,8142,0,0,0,A,Brentwood city,California,64290,64463,64931,66127
162,6,0,8310,0,0,0,A,Brisbane city,California,4852,4838,4675,4597
162,6,0,8758,0,0,0,A,Buellton city,California,5160,5168,5161,5106
162,6,0,8786,0,0,0,A,Buena Park city,California,84016,83862,82951,82450
162,6,0,8954,0,0,0,A,Burbank city,California,107335,107143,105291,103920
162,6,0,9066,0,0,0,A,Burlingame city,California,31385,31270,30178,30559
162,6,0,9598,0,0,0,A,Calabasas city,California,23239,23178,22889,22491
162,6,0,9710,0,0,0,A,Calexico city,California,38616,38533,38540,38249
162,6,0,9780,0,0,0,A,California City city,California,14969,15051,15029,15127
162,6,0,9864,0,0,0,A,Calimesa city,California,10023,10165,10891,11017
162,6,0,9878,0,0,0,A,Calipatria city,California,6520,6585,6385,6322
162,6,0,9892,0,0,0,A,Calistoga city,California,5227,5215,5184,5029
162,6,0,10046,0,0,0,A,Camarillo city,California,70740,70830,70904,70282
162,6,0,10345,0,0,0,A,Campbell city,California,43958,43831,42753,42286
162,6,0,10928,0,0,0,A,Canyon Lake city,California,11079,11084,11159,11142
162,6,0,11040,0,0,0,A,Capitola city,California,9939,9923,9837,9659
